Město/Obec,PSČ,,Počet obyv.,Číslo vyhlášky,Název OZV,Účinnost vyhlášky,e) (VHP),g) (bingo),i) (živá hra),l) (CLS/IVT),m) (karty),n) (LLS),j),§50/3 (ostatní),Čas,Poznámka,
Blovice,33601,,4188,1/2015,"o změně obecně závazné vyhlášky č. 3/2013, o regulaci provozování loterií a jiných podobných her ",13/5/2015,x,x,x,x,x,x,x,x,,seznam povolených adres (mění přílohu k OZV č. 3/2013),
Blovice,33601,,4188,3/2013,o regulaci provozování loterií a jiných podobných her,11/1/2014,x,x,x,x,x,x,x,x,,seznam povolených adresZMĚNA PŘÍLOHY! (došlo ke změně názvu ulice Setecká č.p. 677 na ulici 5. května č.p. 677),
Bohdalice-Pavlovice,68341,,809,2/2013,o regulaci provozování loterií a jiných podobných her,12/10/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Bohumín,73581,,22044,1/2015,"kterou se mění OZV č. 6/2014, kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města Bohumína",10/2/2015,x,,x,x,,x,,x,,ruší přechodné ustanovení,
Bohumín,73581,,22044,6/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města Bohumína,1/1/2015,x,,x,x,,x,,x,,zákaz na celém území města,
Bojkovice,68771,,,2/2013,o regulaci provozní doby hostinnské činnosti na území města Bojkovice,1/11/2013,,,,,,,,,,reguluje pouze provozní dobu ,
Bolatice,74723,,4394,2/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,4/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území,
Bor,34802,,4334,1/2015,"o zákazu provozování výherních hracích přístrojů, interaktivních videoloterních terminálů a jiných podobných her na celém území města Bor",1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Borovany,37312,,3949,1/2014,o regulaci provozování loterií a jiných podobných her,1/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Bořislav,41763,,416,7/2011,o regulaci provozování loterií a jiných podobných her,1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Bořislav,41763,,416,1/2007,"O stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",27/6/2007,x,,,,,,,,,100 m a 80 od čekáren hromadné dopravy;,
Bořislav,41763,,416,2/2007,"O stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",27/6/2007,x,,,,,,,,,seznam zakázaných adres;,
Boskovice,68001,,,2/2015,"kterou se zakazuje provozování loterií a jiných podobných her a kterou se ruší obecně závazná vyhláška města Boskovice č. 6/2011 o poplatku za provozovaný výherní hrací přístroj, koncový interaktivní videoloterní terminál a herní místo lokálního herního systému",1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Brandov,43547,,,2/2014,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území obce",4/4/2014,x,x,x,x,x,x,x,x,,,
Brandýs nad Labem-Stará Boleslav,25001,,17389,3/2013,o možnosti provozování loterií a jiných podobných her pouze v určeném čase a na vymezených místech území města,13/4/2013,x,x,x,x,x,x,x,x,nesmí se od 5:00 do 8:00h,seznam povolených adres;,
Braškov,27351,,1034,1/2013,"o zákazu provozování výherních hracích přístrojů, interaktivních videoloterních terminálů, lokálních loterních systémů a jiných podobných her",1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Brno,60200,,384277,15/2014,"kterou se mění obecně závazná vyhláška statutárního města Brna č. 1/2014, o regulaci provozu loterií a jiných podobných her a stanovení opatření k zabezpečení veřejného pořádku, ve znění obecně závazné vyhlášky statutárního města Brna č. 9/2014",1/1/2015,x,x,x,x,x,x,x,x,,Mění OZV č. 1/2014,
Brno,60200,,384277,9/2014,"kterou se mění obecně závazná vyhláška statutárního města Brna č. 1/2014, o regulaci provozu loterií a jiných podobných her a stanovení opatření k zabezpečení veřejného pořádku",25/10/2014,x,x,x,x,x,x,x,x,,"Mění OZV č. 1/2014Nejzásadnější změna: Zákaz kasin na území městských částí Brno - Bystrc, Jundrov, Nový Lískovec, střed, Vinohrady a Bosonohy",
Brno,60200,,384277,1/2014,o regulaci provozu loterií a jiných podobných her a stanovení opatření k zabezpečení veřejného pořádku,12/2/2014,x,x,x,x,x,x,x,x,zákaz od 7:00 do 14:00h ,"seznam povolených adres pro §2 písm. e), l),n). Kasina §2 písm. i) zákaz jen v MČ Královo Pole",
Brodce,29473,,1016,7/2011,"kterou se mění obecně závazná vyhláška č. 2/2011, o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje",27/12/2011,x,,,,,,,,,upravuje počet VHP,
Brodce,29473,,1016,2/2011,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje",17/2/2011,x,,,,,,,,,seznam povolených adres;,
Broumov,55001,,7783,3/2015,"o zákazu provozování některých sázkových her, loterií a jiných podobných her",7/5/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Broumov,55001,,7783,2/2012,o omezení provozu výherních hracích přístrojů a jiných technických herních zařízení,25/9/2012,x,,x,x,,,,,"po-pá od 12 do 2, so+ne od 0.00 do 2.00 a od 12 do 24",seznam povolených adres;,
Brumov-Bylnice,76331,,5857,1/2016,"kterou se mění obecně závazná vyhláška města Brumov-Bylnice č. 7/2008, o stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje ve znění obecně závazné vyhlášky č. 3/2012, č. 3/2013, a č. 2/2014",1/3/2016,x,,,,,,,,,seznam povolených adres,
Brumov-Bylnice,76331,,5857,2/2014,"kterou se mění obecně závazná vyhláška města Brumov- Bylnice č. 7/2008, o stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje ve znění obecně závazné vyhlášky č. 3/2012 o stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje a č. 3/2013 o stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje",1/1/2016,,,,,,,,,,mění se účinnost OZV 3/2012 z 1.1.2015 na 1.1.2016;,
Brumov-Bylnice,76331,,5857,3/2013,"kterou se mění obecně závazná vyhláška města Brumov-Bylnice č. 3/2012, o stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje",1/1/2015,x,,,,,,,,,mění se účinnost OZV 3/2012 z 1.1.2014 na 1.1.2015;,
Brumov-Bylnice,76331,,5857,3/2012,"kterou se mění obecně závazná vyhláška města Brumov-Bylnice č. 7/2008 O stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje",1/1/2014,x,,,,,,,,,změna seznamu povolených adres (od 1.1.2014!);,
Brumov-Bylnice,76331,,5857,7/2008,"O stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje",1/1/2009,x,,,,,,,,,seznam povolených adres;,
Bruntál,79201,,17030,5/2012,"kterou se ruší a zcela nahrazuje obecně závazná vyhláška města Bruntálu č. 4/2012, kterou se stanoví další regulace provozování výherních hracích přístrojů na území města Bruntálu",1/2/2013,x,,,x,,x,,x,,stanovuje různé podmínky pro provozovny;,
Bruntál,79201,,17030,7/2012,"kterou se doplňuje a mění Obecně závazná vyhláška č. 4/2011, kterou se reguluje provozování výherních hracích přístrojů omezením provozní doby heren na území města Bruntálu, a Obecně závazná vyhláška č. 5/2011, kterou se omezuje provozní doba pohostinských zařízení na území města Bruntálu",1/1/2013,x,,,x,,x,x,x,"zákaz so+ne+dny prac. klidu: 3:01 - 6:00, ostatní dny zákaz 01:01 - 06:00",změna čl.2 OZV 4/2011 a čl.2 OZV 5/2011;,
Bruntál,79201,,17030,4/2011,kterou se reguluje provozování výherních hracích přístrojů omezením provozní doby heren na území města Bruntálu,20/12/2012,x,,,x,,x,x,x,"zákaz so-ne od 02:01 do 06:00, ost. dny od 00:01 do 06:00",bez omezení;,
Bruntál,79201,,17030,2/2012,"kterou se mění Oběcně závazná vyhláška Města Bruntálu č. 4/2011, kterou se reguluje provozování výherních hracích přístrojů omezením provozní doby heren na území města Bruntálu",1/3/2012,x,,,x,,x,x,x,úprava provozní doby heren vyhlášky č. 4/2011 (+odst. 4),;,
Bruzovice,73936,,748,1/2011,"O stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",12/5/2011,x,,,,,,,,,zákaz na všech veřejně přístupných místech +100m od OÚ;,
Břasy,33824,,2203,2/2011,"o stanovení veřejně přístupných míst, na kterých je zakázáno provozování výherních hracích přístrojů",1/12/2011,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Břeclav,69002,,25098,6/2011,"kterou se reguluje provozování sázkových her, loterií a jiných podobných her na území města Břeclavi",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
