Město/Obec,PSČ,,Počet obyv.,Číslo vyhlášky,Název OZV,Účinnost vyhlášky,e) (VHP),g) (bingo),i) (živá hra),l) (CLS/IVT),m) (karty),n) (LLS),j),§50/3 (ostatní),Čas,Poznámka,
Domažlice,34401,,11154,2/2014,"kterou se stanoví zákaz provozování sázkových her, loterií a jiných podobných her na celém území města",3/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Doubravčice,28201,,462,3/2008,o provozování výherních hracích přístrojů,11/6/2008,x,,,,,,,,,seznam zakázaných adres;,
Doubravice,54451,,274,1/2011,o zákazu provozování výherních hracích přístrojů,1/11/2011,x,,,x,,x,,,,zákaz na celém území obce;,
Doubravy,76345,,459,3/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,22/12/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Dubá,47201,,1757,3/2012,"o stanovení okruhu vzdáleností, v němž nesmí být provozovány sázkové hry, loterie a jiné podobné hry",1/7/2012,x,x,x,x,x,x,x,x,,100m od objektů;,
Dubí,41701,,8086,1/2016,"o regulaci provozování sázkových her, loterií a jiných podobných her",17/6/2016,x,x,,x,x,x,x,x,,zákaz na celém území města s výjimkou kasin,
Dubňany,69603,,6516,5/2013,"kterou se reguluje provozování sázkových her, loterií a jiných podobných her",27/6/2013,x,x,x,x,x,x,x,x,zákaz na všech místech všechny dny 0:00 do 12:00,"seznam zakázaných adres + seznam míst, kde vzdálenost min 150m - měření,  ruší se OZV 3/2011;",
Duchcov,41901,,8869,7/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",12/12/2011,x,x,x,x,x,x,x,x,18.00 - 24.00,seznam povolených adres;,
Dušníky,41301,,,1/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",27/2/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Dvory nad Lužnicí,37808,,,1/2014,"kterou se stanoví zákaz provozování výherních hracích přístrojů, interaktivních videoloterijních terminálů a dalších přístrojů podobných výherním hracím přístrojům na území obce",24/4/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Dvůr Králové nad Labem,54401,,16137,12/2011,o zákazu provozování výherních hracích přístrojů,1/10/2011,x,,,x,,x,,x,,zákaz na všech veřejně přístupných místech;,
Dyjákovičky,66902,,448,1/2013,"o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry na území obce",8/3/2013,x,x,x,x,x,x,x,x,,jediná povolená adresa;,
Dymokury,28901,,,1/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,7/5/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Františkovy Lázně,35101,,5742,3/2012,o regulaci hazardu,30/6/2012,x,x,x,x,x,x,x,,,jedna povolená adresa;,
Františkovy Lázně,35101,,5742,1/2010,k zabezpečení místních záležitostí veřejného pořádku v oblasti omezení hazardu,28/3/2010,,,,,,,,x,,povolené adresy;,
Františkovy Lázně,35101,,5742,2/2009,o provozování výherních hracích přístrojů na území města,1/12/2009,x,,,x,,,,,,povolená adresy;,
Frenštát pod Radhoštěm,74401,,11083,2/2012,"o stanovení míst a času, ve kterém mohou být provozovány sázkové hry pomocí technických zařízení",9/2/2012,x,x,x,x,x,x,,x,již povolené lze od 18:00 do 22:00,zákaz na celém území města;,
Frýdek-Místek,73801,,58193,8/2011,"o zákazu provozování vybraných sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Frýdlant,46401,,7608,3/2012,"o stanovení veřejně přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",20/10/2012,x,x,x,x,x,x,x,x,,zákaz v Městské památkové zóně;,
Frýdlant nad Ostravicí,73911,,9681,3/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů, interaktivních videoloterních terminálů a dalších přístrojů podobných výherním hracím přístrojům zakázáno",1/1/2012,x,x,x,x,x,x,x,x,,zákaz provozování na všech veřejně přístupných místech;,
Fulnek,74245,,5921,2/2012,"o zákazu provozování některých sázkových her, loterií a jiných podobných her na území města Fulneku",14/2/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Fulnek,74245,,5921,5/2012,"o stanovení času, ve kterém mohou být provozovány sázkové hry, loterie a jiné podobné hry na území města",26/6/2008,x,x,x,x,x,x,x,x,lze od 10:00 do 22:00,;,
Grygov,78373,,1468,3/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,5/10/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Habartov,35709,,5269,3/2012,o omezení provozní doby pohostinských zařízení na území města Habartov,2/1/2013,,,,,,,,,,stanoví časové rozmezí pro provozování hostinských provozoven!!!;,
Habartov,35709,,5269,2/2012,"o lokalizaci míst provozu povolených výherních hracích přístrojů a koncových interaktivních videoloterních terminálů a herních míst lokálních herních systémů, kterou se mění obecně závazná vyhláška č. 2/2003 o lokalizaci míst provozu povolených výherních hracích přístrojů",1/3/2012,x,,,x,,x,,x,,novelizuje se 2/2003 rozšířením tipů regulovaných technických zařízení;,
Habartov,35709,,5269,2/2003,o lokalizaci míst provozu povolených výherních hracích přístrojů,2/1/2004,x,,,x,,x,,x,,zakázané adresy + novelizováno OZV 2/2012;,
Halže,34701,,981,4/2011,"jíž se zakazuje na území obce Halže provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení povolovaná podle § 50 odst. 3 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",1/1/2012,x,,,x,,x,,,,zákaz na celé území obce;,
Hartmanice,34201,,1076,1/2013,"o stanovení veřejně přístupných míst, na kterých je zakázáno provozování sázkových her, loterií a jiných podobných her",1/4/2013,x,x,x,x,x,x,x,x,,zákaz na celé území obce;,
Hať,74716,,,1/2014,"o zákazu provozování výherních hracích přístrojů, interaktivních videoloterních terminálů a lokalních loterních systémů",1/11/2014,x,,,x,,x,,,,zákaz na celém území obce,
Havířov,73601,,81693,6/2013,"o stanovení míst, na kterých mohou být provozovány sázkové hry, loterie a jiné podobné hry",23/11/2013,x,,,x,,x,x,x,,"povoleno jen ve dvou kasinech, na ostat. veřej. příst. místech zakázáno, přechodňák do 31.12.2015, zrušuje se OZV  10/2011;",
Havlíčkův Brod,58001,,23723,6/2015,o regulaci provozování loterií a jiných podobných her,1/1/2016,x,x,x,x,x,x,x,x,"neděle až čtvrtek od 10:00 do 02:00 hod následujícího dne; pátek, sobota od 10:00 do 04:00 hod následujícího dne",seznam povolených adres,
Hazlov,35002,,1665,2/2013,"k zabezpečení místních záležitostí veřejného pořádku v oblasti omezení hazardu a o stanovení veřejné přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Herálec,59201,,,3/2015,o regulaci provozování loterií a jiných podobných her ,1/10/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Heřmanův Městec,53803,,5033,2/2011,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje včetně interaktivních videoloterních terminálů",15/10/2011,x,,,x,,x,,,"ne-čt od 10:00 do 24:00, pá-so od 10:00 do 02:00",seznam povolených adres;,
Hevlín,67169,,,2/2014,"o stanovení míst, ve kterých mohou být provozovány loterie a jiné podobné hry na území obce",17/9/2014,x,x,x,x,x,x,x,x,,seznam povolených adres,
Hlinsko,53901,,10017,5/2012,o regulaci provozování loterií a jiných podobných her,16/11/2012,x,x,x,x,x,x,x,x,nesmí se od 4.00 do 8.00,seznam povolených adres;,
Hlubočky,78361,,,5/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území obce",1/2/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území města, OZV 2/2012 zrušena OZV 4/2012;1.2.2013 pro VHP, 1.1.2015 pro zbytek",
Hluboká nad Vltavou,37341,,4992,1/2013,"o stanovení míst a času, ve kterém mohou být provozovány některé sázkové hry, loterie a jiné podobné hry",6/7/2013,x,x,x,x,x,x,x,x,pro čl. 3 a)b)c) lze od 20:00 do 06:00,"seznam povolených adres, ruší se OZV 1/2012;",
Hluboš,26222,,546,1/2008,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",25/6/2008,x,,,,,,,,,celá obec zákaz;,
Hlučín,74801,,14232,1/2015,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města Města Hlučína",1/7/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Hodice,58901,,761,1/2009,"O stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",1/6/2009,x,,,,,,,,,50-100 m;,
Hodkovice nad Mohelkou,46342,,2779,1/2014,"o stanovení veřejně přístupných míst, na kterých je zakázáno provozování sázkových her, loterií a jiných podobmých her",7/7/2014,x,x,x,x,x,x,x,x,,seznam zakázaných adres,
Holany,47101,,,2/2013,"kterou se stanoví regulace provozování sázkových her, loterií a jiných pdobných her na území městyse Holany",1/1/2014,x,x,x,x,x,x,x,x,,zákaz provozování na celém území; pro VHP seznam povolených adres+ počet,
Holasice,66461,,,1/2016,o reguladci provozování loterií a jiných podobných her,25/3/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Holice,53401,,6380,5/2011,"o stanovení míst a času, ve kterém mohou být provozovány některé sázkové hry a loterie a jiné podobné hry",1/1/2012,x,x,x,x,x,x,x,x,lze od 8:00 do 24:00,seznam povolených adres;,
Holýšov,34562,,4967,1/2016,která omezuje provozní dobu pohostinských zařízení na území města Holýšov,9/3/2016,,,,,,,,,obdobím klidu je časový úsek od 02:00 hodin do 09:00 hodin ve dnech pracovního klidu a pracovního volna a časový úsek od 02:00 hodin do 09:00 hodin v ostatní dny,reguluje pouze provozní dobu,
Holýšov,34562,,4967,1/2006,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístojů zakázáno",25/1/2006,x,,,,,,,,,seznam zakázaných adres;,
Homole,37001,,1290,3/2000,o provozování výherních hracích přístrojů,4/10/2000,x,,,,,,,,,pouze v restauraích a hostincích v jejich pracovní době;,
Horažďovice,34101,,5607,2/2012,"o stanovení veřejně přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Horní Benešov,79312,,2461,2/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů včetně interaktivních terminálů zakázáno",1/1/2012,x,,,x,,x,,,,zákaz na veřej. příst. místech a dle seznamu zakázaných ulic;,
Horní Bříza,33012,,4340,2/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města,1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Horní Bukovina,29501,,221,1/2007,"o stanovení veřejně přístupných míst, na kterých je zakázáno provozování výherních hracích přístrojů",30/5/2007,x,,,,,,,,,celá obec;,
Horní Řasnice,46401,,232,2/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her",31/12/1899,x,,,x,,x,x,x,,zákaz na  celém území;,
Horní Slavkov,35731,,5633,1/2013,"o stanovení míst, na kterých je provozování loterií a jiných podobných her zakázáno",1/4/2013,x,x,x,x,x,x,x,x,,"zákaz provozu do 20 m od uvedených objektů, ke dni 31.3.2013 se zrušuje OZV 2/2012;",
Horní Suchá,73535,,4685,4/2011,"kterou se stanoví místa, na kterých lze provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení povolovaná podle § 50 odst. 3 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",1/1/2012,x,,,x,,,,x,,"(dle § 50 odst. 3), seznam povolených adres;",
Horní Vltavice,38491,,,1/2015,"o zákazu provozování některých sázkových her, loterií a jiných podobných her",31/3/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Horoměřice,25262,,3300,2/2015,"stanovující podmínky provozování sázkových her, loterií a jiných podobných her v katastru Obce Horoměřice",1/5/2015,x,x,x,x,x,x,x,x,,seznam zakázaných adres,
Horšovský Týn,34601,,,2/2016,o regulaci provozování loterií a jiných podobných her,19/4/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Hořice,50801,,9027,3/2015,"o zákazu provozování některých sázkových her, loterií a jiných podobných her",8/10/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města ,
Hořice,50801,,9027,5/2014,"kterou se mění obecně závazná vyhláška č. 3/2011, o stanovení míst a času, ve kterém mohou být provozovány některé sázkové hry a loterie a jiné podobné hry",22/10/2014,x,x,x,x,x,x,x,x,,nový seznam povolených adres,
Hořice,50801,,9027,3/2011,"o stanovení míst a času, ve kterém mohou být provozovány některé sázkové hry a loterie a jiné podobné hry",1/1/2012,x,x,x,x,x,x,x,x,"ne až čt 11:00 až 22:00, pá až so 10:00 až 24:00",seznam povolených adres;,
Hořice,50801,,9027,6/2013,"o omezení propagace některých sázkových her, loterií a jiných podobných her",31/12/1899,x,x,x,x,x,x,x,x,,omezení propagace;,
Hořovice,26801,,6765,1/2014,o regulaci provozu loterií a jiných podobných her a stanovení opatření k zabezpečení veřejného pořádku,7/6/2014,x,x,x,x,x,x,x,x,"Lze provozovat: po, út, st, čt 8:00 - 24:00, pá, so, ne 8:00 - 1:00, dny pracovního klidu a dny, po nichž následuje den pracovního klidu 8:00 - 24:00","Zakázáno provozovat na celém území Palackého náměstí, HořoviceSeznam povolených adres",
Hospozín,27322,,539,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,29/3/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území obce, přechodňák;",
Hostěnice,66404,,,1/2016,o regulaci provozování loterií a jiných podobných her,30/3/2016,x,x,,x,x,x,,x,,zákaz na celém území obce,
Hostinné,54371,,,2/2015,o zákazu provozování loterií a jiných podobných her ,1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Hostinné,54371,,,4/2015,"o zrušení obecně závazné vyhlášky č. 1/2014, o omezení propagace některých sázkových her, loterií a jiných podobných her, a o změně obecně závazné vyhlášky č. 2/2015, o zákazu provozování loterií a jiných podobných her",1/1/2016,x,x,x,x,x,x,x,x,,zrušuje OZV č. 1/2014 + vkládá přechodné ustanovení do OZV č. 2/2015,
Hostivice,25301,,7252,4/2011,"o regulaci sázkových her, loterií a podobných her",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Hostomice,26724,,1653,1/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/12/2012,x,,,x,,x,,,,zákaz na celém území města;,
Hošťka,34806,,,2/2015,"o stanovení veřejné přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce Hošťka a Žebráky,
Hrabyně,74763,,,3/2016,o regulaci provozování loterií a jiných podobných her,30/11/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Hradec Králové,50002,,94242,2/2013,o omezení provozování loterií a jiných podobných her,29/5/2013,x,x,x,x,x,x,x,x,určení času v příloze OZV,"seznam povolených adres, ruší se  OZV 4/2011 a 7/2012;",
Hrádek,33842,,3030,5/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,15/4/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Hrádek nad Nisou,46334,,7642,2/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů, videoloterjních terminálů (ILV) nebo jiných technických herních zařízení, povolených Ministerstvem financí podle jiného právního předpisu, zakázáno",23/6/2011,x,,,x,,x,,x,,zákaz ve vymezeném území;,
Hranice,75301,,18933,2/2013,"kterou se mění a doplňuje obecně závazná vyhláška města Hranic č.3/2011, o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města",11/6/2013,x,x,x,x,x,x,x,x,,doplňuje do OZV 3/2011 o článek 4 - přechodné ustanovení;,
Hranice,75301,,18933,3/2011,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města",1/1/2012,x,x,x,x,x,x,x,x,,zákaz sázkových her na celém území města;,
Hranice,35124,,2198,1/2011,"kterou se mění Oběcně závazná vyhláška č.1/2008, o stanovení míst a času, ve kterých mohou být provozovány výherní hrací přístroje",1/3/2011,x,,,,,,,,,rozšířený seznam povolených adres;,
Hranice,35124,,2198,1/2008,"o stanovení míst a času, ve kterých mohou být provozovány výherní hrací přístroje",25/1/2008,x,,,,,,,,"všední dny od 10 - 22.00, jinak od 10 - 24.00",seznam povolených adres;,
Hrdějovice,37361,,1592,2/2013,o regulaci provozování loterií a jiných podobných her,1/6/2013,x,x,x,x,x,x,x,x,,zákaz na  celém území s vyjimkou 1 povolené adresy;,
Hrubčice,79821,,,1/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území obce",20/3/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Hrušovany nad Jevišovkou,67167,,,1/2015,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území Města Hrušovany nad Jevišovkou,1/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Hrušovany u Brna,66462,,3271,1/2013,"o změně vyhlášky č. 1/2011, o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje a interaktivní videoloterijní terminály",5/3/2013,x,,,x,,,,,,určení počtu  přístrojů;,
Hrušovany u Brna,66462,,3271,1/2011,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje a interaktivní videoloterijní terminály",18/8/2011,x,,,x,,,,,,seznam povolených adres;,
Hřensko,40717,,399,2/2015,"o omezení hazardu a regulaci provozování sázkových her, loterií a jiných podobných her a o zrušení obecně závazné vyhlášky obce Hřensko č. 7/2012",28/7/2015,x,x,x,x,x,x,x,x,,"sázkové hry podle § 2 písm. i), l), m) je povoleno provozovat pouze v kasinech na území Hřenska ve vzdálenosti uvedené v čl 1 odst. 2 OZV č. 2/2015",
Hulín,76824,,7149,3/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města",25/6/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Hustopeče,69301,,5955,1/2016,"o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry na území města",5/5/2016,x,x,x,x,x,x,x,x,,seznam povolených adres; ruší OZV 1/2013,
Hutisko-Solanec,75662,,,1/2016,o regulaci provozování loterií a jiných podobných her,25/2/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Chabařovice,40317,,,2/2015,"o regulaci provozování sázkových her, loterií a jiných podobných her ",10/7/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Cheb,35002,,33446,2/2013,"kterou se mění obecně závazná vyhláška Č. 3/2012 o stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje, loterie a jiné podobné hry a o změně obecně závazné vyhlášky města Chebu č. 7/2011, ve znění obecně závazné vyhlášky města Chebu Č. 8/2012",1/12/2013,x,,x,x,x,x,x,x,,rozšíření přílohy o novou adresu - objekty;,
Cheb,35002,,33446,8/2012,"kterou se mění obecně závazná vyhláška Č. 3/2012 o stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje, loterie a jiné podobné hry a o změně obecně závazné vyhlášky města Chebu č. 7/2011",1/8/2012,x,,x,x,x,x,x,x,,změna přílohy OZV 3/2012;,
Cheb,35002,,33446,3/2012,"o stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje, loterie a jiné podobné hry a o změně obecně závazné vyhlášky města Chebu č. 7/2011",15/3/2012,x,,x,x,x,x,x,x,,"seznam povolených parcelních čísel, kde lze provozovat sáz. hry + objekty;",
Cheb,35002,,33446,7/2011,o zabezpečení některých místních zeležitostí veřejného pořádku,10/1/2012,x,,x,x,x,x,x,x,od 9.00 do 17.00 s výjimkou Svatý Kříž,povoleno v lokalitě Sv. Kříž;,
Chlumec nad Cidlinou,50351,,,1/2014,"o omezení propagace některých sázkových her, loterií a jiných podobných her",7/2/2014,x,x,x,x,x,x,x,x,-,omezení propagace,
Chodov,35735,,14134,1/2016,o regulaci provozování loterií a jiných podobných her,1/3/2016,x,,x,x,x,x,x,x,,seznam povolených adres,
Chodov,35735,,14134,5/2012,kterou se zrušují některé obecně závazné vyhlášky,11/5/2012,,,,,,,,,,ruší platnost OZV č.  2/2011 - neregulováno;,
Chodová Planá,34815,,1880,1/2016,"kterou se stanoví zákaz provozování sázkových her, loterií a jiných podobných her na celém území městyse",20/5/2016,x,x,x,x,x,x,x,x,,zákaz na celém území městyse; ruší OZV 2/2008,
Chodová Planá,34815,,1880,2/2008,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",3/10/2008,x,,,,,,,,,seznam zakázaných adres;,
Chomutov,43001,,49784,1/2015,"o regulaci provozování sázkových her, loterií a jiných podobných her",3/3/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Chotěbuz,73561,,,1/2015,"již se zakazuje provozování sázkových her, loterií a jiných podobných her",1/10/2015,x,x,x,x,x,x,x,x,zákaz na celém území obce,,
Choustníkovo Hradiště,54442,,616,1/2013,o zákazu provozování loterií a jiných podobných her,6/3/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Chrást,28914,,500,1/2007,"o stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",10/3/2007,x,,,,,,,,,100 m;,
Chrastava,46331,,5976,3/2011,"o stanovení míst, na kterých mohou být provozovány některé sázkové hry, loterie a jiné podobné hry",1/1/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Chrastava,46331,,5976,8/2011,kterou se mění a doplňuje obecně závazná vyhláška 3/2011,1/1/2012,x,x,x,x,x,x,x,x,,doplnění seznamu povolených adres OZV č. 3/2011;,
Chrášťany,28201,,655,1/2008,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",7/11/2008,x,,,,,,,,,celá obec;,
Chrudim,53701,,23369,4/2014,o regulaci provozování loterií a jiných podobných her,16/10/2014,x,x,x,x,x,x,x,x,"ne - čt od 10:00 do 24:00, pá - so od 10:00 do 02:00",seznam povolených adres,
Chřibská,40744,,1455,2/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Chuchelná,74724,,,1/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,10/10/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Chvaletice,53312,,3091,1/2013,"kterou se stanoví zákaz provozování sázkových her, loterií a jiných podobných her na území města Chvaletice",1/6/2013,x,,,x,x,x,x,x,,"zákaz na celém území města;                                                                                                                     §2 písm. m bod 2. zakázán, ale §2 písm. m bod 1 povoleno (hry v kasinu) "";",
Chvalovice,66902,,446,2/2016,o regulaci provozování loterií a jiných podobných her,12/2/2016,x,x,x,x,x,x,x,x,,seznam povolených adres,
Chvalšiny,38208,,1199,1/2003,o vymezení vzdálenosti prostor určených k umístění výherních hracích přístrojů,15/3/2003,x,,,,,,,,,100 m - seznam povolených adres;,
Jablonec nad Nisou,46601,,45255,1/2016,"kterou se mění příloha č. 1 obecně závazné vyhlášky statutárního města Jablonec nad Nisou č. 3/2015, o regulaci provozování sázkových her, loterií a jiných podobných her",31/3/2016,x,x,x,x,x,x,x,x,,"seznam povolených adres, mění OZV č. 3/2015",
Jablonec nad Nisou,46601,,45255,3/2015,"o regulaci provozování sázkových her, loterií a jiných podobných her na území města Jablonec nad Nisou",7/7/2015,x,x,x,x,x,x,x,x,provozní doba od 12:00 - 6:00,seznam povolených adres,
Jablunkov,73991,,,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her,1/1/2014,x,x,x,x,x,x,x,x,-,,
Jáchymov,36251,,3333,4/2011,"o stanovení veřejně přípustnýc míst, na kterých je provozování výherních hracích přístrojů nebo jiných technických zařízení povolovaných Ministerstvem financí podle jiného právního předpisu zakázáno",13/10/2011,x,,,,,,,,,zakázané adresy;,
Jankov,25703,,894,4/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Janov,56955,,820,2/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na území celé obce,24/5/2012,x,x,x,x,x,x,x,x,-,zákaz na celém území;,
Janovice nad Úhlavou,34021,,2251,4/2012,"o stanovení veřejně přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",20/9/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Janovice nad Úhlavou,34021,,2251,1/2007,,10/4/2007,x,,,,,,,,,10 - 100 m;,
Jaroměř,55101,,12678,1/2013,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje a jiné podobné hry",1/1/2014,x,x,x,x,x,x,,x,,"seznam povolených adres, ruší se  OZV 4/2011;",
Jaroměřice nad Rokytnou,67551,,4258,2/2012,"jíž se zakazuje na území města Jaroměřic nad Rokytkou provozovat výherní hrací přístroje, interaktivní videoloterní terminály, technická hrací zařízení povolovaná podle § 50 odst.3 č. 202/1990 Sb. o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",1/1/2013,x,,,x,,x,,,,"zakázáno na všech veřejně přístupných místech, ruší se OZV 2/2011;",
Jaroslavice,67128,,1267,3/2013,"o zákazu provozování sázkových her, loterií a jiných podobných her na území celé obce",24/10/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Jeneč,25261,,1230,1/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Jenišovice,46833,,46833,3/2012,"o zákazu provozování výherních hracích přístrojů, sázkových her, loterií a jiných podobných her na území celé obce",16/11/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Jesenice,25242,,7516,3/2016,o úplném zákazu provozování některých loterií a jiných podobných her ,5/8/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Jeseník,79001,,11890,1/2012,obecně závazná vyhláška města Jeseník č. 1/2012,6/3/2012,x,x,x,x,x,x,x,x,neomezeno,seznam povolených adres;,
Jeseník nad Odrou,74233,,1912,1/2012,o zákazu provozování výherních hracích přístrojů a interaktivních videoloterijních terminálůna území obce Jeseník nad Odrou,1/4/2012,x,,,x,,,,,,zákaz na celém území + přechodňák jen na E);,
Jičín,50601,,16792,1/2015,"o stanovení času, ve kterém mohou být provozovány některé sázkové hry, loterie a jiné podobné hry na území města a o stanovení opatření k omezení propagace",1/1/2016,x,x,x,x,x,x,x,x,od 10:00 do 24:00 hodin,reguluje pouze čas,
Jičín,50601,,16792,6/2011,"o stanovení míst, na kterých lze provozovat výherní hrací přístroje",27/10/2011,x,,,x,,x,,x,,seznam povolených adres;,
Jičín,50601,,16792,4/2011,"kterou se ruší obecně závazná vyhláška č. 1/2011, kterou se mění a doplňuje obecně závazná vyhláška č. 2/2009, o stanovení míst, na kterých lze provozovat výherní hrací přístroje",12/4/2011,,,,,,,,,,ruší OZV č. 1/2011,
Jihlava,58601,,50760,4/2011,o zákazu provozování loterií a jiných podobných her,1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Jilemnice,51401,,5651,7/2009,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje",1/1/2010,x,,,,,,,,,seznam povolených adres;,
Jimramov,59242,,1185,4/2007,"o stanoveni míst a času, ve kterém mohou být provozovány výherní hrací přístroje",25/9/2007,x,,,,,,,,21.00 - 12.00,zakázaná místa;,
Jimramov,59242,,1185,3/2007,"O stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",25/9/2007,x,,,,,,,,,"souvisí s 4/2007, vyhrazená místa;",
